Dataset,Instance,Algorithm,NV_mean,NV_std,NV_diff,TD_mean,TD_std,Gap%,OnTime,Time_s,NV_cv,TD_cv,NV_inflated,raw_costs,raw_nv
RC2,R205,Hybrid-DDQN-Transfer-DR,3.0,0.0,0.0,1089.71,21.68,9.58,100.0,52.6,0.0,1.99,False,1079.8315;1106.3020;1121.2126;1081.8878;1059.3116,3;3;3;3;3
RC2,R206,Hybrid-DDQN-Transfer-DR,3.0,0.0,0.0,941.46,16.86,3.9,100.0,43.1,0.0,1.79,False,936.0647;964.4530;937.2541;915.3348;954.2171,3;3;3;3;3
RC2,R207,Hybrid-DDQN-Transfer-DR,3.0,0.0,1.0,844.47,14.43,-5.18,100.0,42.9,0.0,1.71,True,871.9239;840.0962;834.3401;844.4114;831.5806,3;3;3;3;3
RC2,R208,Hybrid-DDQN-Transfer-DR,2.0,0.0,0.0,769.28,19.58,5.84,100.0,37.2,0.0,2.55,False,800.0153;753.1345;784.0440;749.0018;760.1830,2;2;2;2;2
RC2,R209,Hybrid-DDQN-Transfer-DR,3.0,0.0,0.0,971.14,27.66,6.82,100.0,53.7,0.0,2.85,False,941.0892;1015.7182;961.1287;948.5780;989.1757,3;3;3;3;3
RC1,R210,Hybrid-DDQN-Transfer-DR,3.0,0.0,0.0,999.25,17.12,6.37,100.0,32.8,0.0,1.71,False,974.0449;1011.2805;1014.5238;1013.1982;983.1942,3;3;3;3;3
RC1,R211,Hybrid-DDQN-Transfer-DR,3.0,0.0,1.0,796.51,23.13,-10.07,100.0,43.9,0.0,2.9,True,770.0862;787.3219;835.2346;808.8467;781.0365,3;3;3;3;3
RC1,RC101,Hybrid-DDQN-Transfer-DR,15.2,0.4,1.2,1687.61,20.79,-0.55,100.0,28.7,2.63,1.23,True,1668.9482;1659.9538;1717.9005;1694.6066;1696.6215,15;15;15;16;15
RC1,RC102,Hybrid-DDQN-Transfer-DR,13.8,0.4,1.8,1522.43,18.02,-2.08,100.0,31.1,2.9,1.18,True,1495.8101;1548.5242;1522.6920;1533.3878;1511.7388,14;13;14;14;14
RC1,RC103,Hybrid-DDQN-Transfer-DR,12.0,0.63,1.0,1346.41,22.15,6.72,100.0,60.4,5.27,1.65,False,1317.2943;1369.0477;1336.9158;1333.4564;1375.3153,12;13;11;12;12
RC1,RC104,Hybrid-DDQN-Transfer-DR,10.2,0.4,0.2,1173.26,20.86,3.33,100.0,29.6,3.92,1.78,False,1163.0376;1208.9172;1160.6037;1150.1827;1183.5766,10;10;10;10;11
RC1,RC105,Hybrid-DDQN-Transfer-DR,14.8,0.4,1.8,1574.65,11.29,-3.36,100.0,62.9,2.7,0.72,True,1569.2811;1583.2603;1592.0482;1561.2384;1567.4237,15;15;15;15;14
RC1,RC106,Hybrid-DDQN-Transfer-DR,13.2,0.4,2.2,1438.67,25.21,0.98,100.0,60.6,3.03,1.75,False,1471.2391;1439.1423;1406.6461;1414.7984;1461.5123,13;13;13;13;14
RC1,RC107,Hybrid-DDQN-Transfer-DR,11.8,0.4,0.8,1266.53,16.68,2.93,100.0,42.4,3.39,1.32,False,1257.8025;1276.7639;1268.1717;1289.4797;1240.4475,12;11;12;12;12
RC1,RC108,Hybrid-DDQN-Transfer-DR,10.8,0.4,0.8,1155.58,23.06,1.38,100.0,55.4,3.7,2.0,False,1160.9125;1124.9774;1138.9521;1160.1087;1192.9579,11;11;11;10;11
RC2,RC201,Hybrid-DDQN-Transfer-DR,4.0,0.0,0.0,1486.97,30.54,5.69,100.0,36.3,0.0,2.05,False,1499.0160;1470.5495;1510.8496;1435.4562;1518.9655,4;4;4;4;4
RC2,RC202,Hybrid-DDQN-Transfer-DR,4.0,0.0,1.0,1252.39,13.76,-8.29,100.0,34.9,0.0,1.1,True,1233.8645;1239.3575;1261.4690;1270.6282;1256.6357,4;4;4;4;4
RC2,RC203,Hybrid-DDQN-Transfer-DR,3.2,0.4,0.2,1130.12,73.21,7.67,100.0,28.9,12.5,6.48,False,1094.2072;1166.4068;1193.5861;1003.0107;1193.4038,3;3;3;4;3
RC2,RC204,Hybrid-DDQN-Transfer-DR,3.0,0.0,0.0,834.45,29.92,4.51,100.0,31.2,0.0,3.59,False,806.6684;873.4077;867.9366;806.2935;817.9313,3;3;3;3;3
RC2,RC205,Hybrid-DDQN-Transfer-DR,4.0,0.0,0.0,1380.86,19.64,6.41,100.0,51.4,0.0,1.42,False,1418.5664;1373.9044;1361.2100;1377.5608;1373.0548,4;4;4;4;4
RC2,RC206,Hybrid-DDQN-Transfer-DR,4.0,0.0,1.0,1109.7,16.94,-3.19,100.0,56.9,0.0,1.53,True,1096.0280;1088.9701;1104.8304;1132.7211;1125.9513,4;4;4;4;4
RC2,RC207,Hybrid-DDQN-Transfer-DR,3.4,0.49,0.4,1136.09,85.8,7.06,100.0,49.7,14.41,7.55,False,1035.7400;1245.7266;1045.2960;1137.1403;1216.5314,4;3;4;3;3
RC2,RC208,Hybrid-DDQN-Transfer-DR,3.0,0.0,0.0,903.94,53.96,9.15,100.0,41.6,0.0,5.97,False,877.9112;910.7049;850.5085;875.7039;1004.8508,3;3;3;3;3
